"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 5",5451397,5,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 5",27660.734,5,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 5",0.35271057,5,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 5",16273.237,5,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 5",2334.8228,5,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 5",0.6642725,5,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 6",1429.2418,6,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 6",0.85714847,6,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 6",5922294.5,6,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 6",27481.658,6,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 6",0.3357376,6,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 6",16014.1045,6,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 6",2433.5764,6,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 6",0.66393614,6,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 7",1454.3954,7,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 7",0.87587476,7,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 7",5616535,7,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 7",28183.002,7,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 7",0.3515727,7,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 7",16582.06,7,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 7",2369.923,7,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 7",0.66250426,7,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 8",1454.0076,8,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 8",0.869845,8,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 8",6071386.5,8,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 8",28278.725,8,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 8",0.3385995,8,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 8",16501.828,8,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 8",2464.0183,8,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 8",0.6634377,8,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 9",1434.3213,9,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 9",0.8729525,9,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 9",5361919,9,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 9",27594.176,9,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 9",0.34702024,9,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 9",16539.832,9,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 9",2315.5818,9,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 9",0.66134226,9,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 10",1425.6519,10,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 10",0.8688547,10,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 10",5789764.5,10,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 10",27815.873,10,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 10",0.33230406,10,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 10",16560.371,10,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 10",2406.1929,10,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 10",0.66533166,10,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 1",1406.9945,1,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 1",1.2344921,1,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 1",4990358.5,1,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 1",40594.938,1,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 1",0.3770439,1,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 1",23114.629,1,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 1",2233.9111,1,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 1",0.65485805,1,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 2",1398.5177,2,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 2",1.225637,2,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 2",5040873.5,2,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 2",40499.625,2,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 2",0.36945236,2,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 2",23233.174,2,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 2",2245.189,2,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 2",0.6512957,2,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 3",1399.0604,3,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 3",1.2074153,3,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 3",5041783,3,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 3",39941.742,3,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 3",0.37539262,3,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 3",22623.342,3,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 3",2245.3916,3,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 3",0.6447294,3,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 4",1425.7693,4,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 4",1.2393143,4,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 4",5144621.5,4,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 4",40729.15,4,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 4",0.37883994,4,"r2",1.85,"tweedie_variance_power 1.85"
