"iteration","value","iteration_num","metric","alpha","lambda","hyper_param_label"
"Test Set 10",1338.6935,10,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",17.593666,10,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",4432113,10,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",659650.3,10,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",0.4408784,10,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",331693.38,10,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",2105.2583,10,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 10",0.62800837,10,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",1382.3234,1,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",18.89852,1,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",5042585.5,1,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",654172.4,1,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",0.37061757,1,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",354177.12,1,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",2245.5703,1,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 1",0.6400158,1,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",1406.8463,2,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",19.445965,2,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",5496289,2,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",671592.56,2,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",0.360759,2,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",364553.5,2,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",2344.4165,2,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 2",0.6485454,2,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",1357.1932,3,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",18.271805,3,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",4693144,3,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",650959.25,3,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",0.3932824,3,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",344423.53,3,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",2166.3665,3,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 3",0.64064413,3,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",1416.9071,4,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",19.480059,4,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",5998996,4,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",683458.2,4,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",0.3457247,4,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",369848.38,4,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",2449.285,4,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 4",0.63934654,4,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",1376.5026,5,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",18.535852,5,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",4992953.5,5,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",660912.7,5,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",0.38209784,5,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",350828.06,5,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",2234.4917,5,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 5",0.6349756,5,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",1387.1727,6,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",18.851,6,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",5577471.5,6,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",662807.44,6,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",0.35803026,6,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",355303.66,6,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",2361.6672,6,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 6",0.6318342,6,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",1388.2413,7,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",18.683304,7,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",5031754,7,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",659668.25,7,"null_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",0.3840729,7,"r2",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",350368,7,"residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",2243.1572,7,"rmse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 7",0.630159,7,"rmsle",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 8",1387.9723,8,"mae",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 8",18.898212,8,"mean_residual_deviance",0.9,0.00001,"alpha 0.9, lambda 0.00001"
"Test Set 8",4969743.5,8,"mse",0.9,0.00001,"alpha 0.9, lambda 0.00001"
